dataset,category,w_pred,w_oracle,fixed05,fixed08,oracle_auroc,proposed,plateau_hit
mvtec,bottle,0.4077,0.1,1.0,1.0,1.0,1.0,1
mvtec,cable,0.6741,0.8,0.976949,0.989505,0.989505,0.986556,0
mvtec,capsule,0.3224,0.7,0.975269,0.979657,0.981651,0.941136,0
mvtec,carpet,0.5369,0.6,0.999599,1.0,1.0,0.999747,1
mvtec,grid,0.2836,0.6,0.999165,1.0,1.0,0.997082,0
mvtec,hazelnut,0.5867,0.4,1.0,1.0,1.0,1.0,1
mvtec,leather,0.451,0.0,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,0.5958,0.2,1.0,1.0,1.0,1.0,1
mvtec,pill,0.6021,0.9,0.969449,0.986634,0.987452,0.980157,0
mvtec,screw,0.3521,0.6,0.930928,0.943226,0.946505,0.88973,0
mvtec,tile,0.4044,0.2,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.4819,0.6,0.977778,0.997222,0.997222,0.976271,0
mvtec,transistor,0.6585,0.9,0.9775,0.989167,0.990833,0.986321,0
mvtec,wood,0.2263,0.7,0.992105,0.994737,0.996491,0.990582,0
mvtec,zipper,0.6849,0.6,0.998424,0.997899,0.998687,0.998241,1
visa,candle,0.4229,0.7,0.9562,0.9649,0.9656,0.945486,0
visa,capsules,0.799,0.9,0.919,0.959667,0.960333,0.959643,1
visa,cashew,0.6024,0.7,0.9896,0.9932,0.9972,0.996029,0
visa,chewinggum,0.5538,1.0,0.9806,0.9806,0.981,0.9806,1
visa,fryum,0.32,1.0,0.9222,0.948,0.955,0.881596,0
visa,macaroni1,0.4263,0.5,0.8527,0.8249,0.8527,0.844223,0
visa,macaroni2,0.6158,0.9,0.7137,0.7971,0.804,0.762864,0
visa,pcb1,0.5726,0.9,0.9031,0.9346,0.9352,0.914711,0
visa,pcb2,0.5459,0.7,0.876,0.89,0.8927,0.881144,0
visa,pcb3,0.5011,1.0,0.921782,0.945248,0.945446,0.921953,0
visa,pcb4,0.4242,0.4,0.975941,0.97297,0.976238,0.976166,1
visa,pipe_fryum,0.6113,0.8,0.9946,0.997,0.997,0.996023,1
btad,01,0.332,0.2,0.962099,0.955296,0.970845,0.967657,0
btad,02,0.4187,1.0,0.895667,0.921833,0.927833,0.885646,0
btad,03,0.477,1.0,0.997012,0.997622,0.997683,0.996788,1
mpdd,bracket_black,0.4146,0.6,0.831117,0.8125,0.835106,0.827142,0
mpdd,bracket_brown,0.408,0.7,0.914027,0.926094,0.926094,0.907786,0
mpdd,bracket_white,0.4019,0.9,0.978889,0.998889,1.0,0.952737,0
mpdd,connector,0.5439,0.8,0.964286,0.985714,0.985714,0.968471,0
mpdd,metal_plate,0.7843,0.4,1.0,1.0,1.0,1.0,1
mpdd,tubes,0.5236,1.0,0.932518,0.947464,0.953804,0.933798,0
