predictor,scope,N,pearson,spearman,mae,plateau_pct,fixed05,fixed08,oracle,proposed,prop_minus_08
oracle_upperbound,GLOBAL,36,0.9999999999999998,1.0,0.0,100.0,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9652178333333333,0.00322772222222234
oracle_upperbound,MVTEC,15,1.0,1.0,0.0,100.0,0.9864777333333336,0.9918698,0.9925564000000001,0.9925564000000001,0.0006866000000000927
oracle_upperbound,VISA,12,1.0,1.0,0.0,100.0,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9385347500000001,0.004519333333333431
oracle_upperbound,BTAD,3,0.9999999999999999,1.0,0.0,100.0,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9654536666666665,0.007203333333333228
oracle_upperbound,MPDD,6,1.0,1.0,0.0,100.0,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9501196666666667,0.0050095
v0_raw_compactness,GLOBAL,36,-0.03702066552994975,0.01962790297069235,0.2510583333333334,33.33333333333333,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9572936111111111,-0.004696499999999881
v0_raw_compactness,MVTEC,15,-0.1234285061052301,0.03100043336548858,0.22458666666666668,53.333333333333336,0.9864777333333336,0.9918698,0.9925564000000001,0.9891174666666668,-0.0027523333333332456
v0_raw_compactness,VISA,12,0.16558350736690947,-0.014288995299080285,0.2584,16.666666666666664,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9260415833333333,-0.007973833333333347
v0_raw_compactness,BTAD,3,0.7746887899136561,0.8660254037844387,0.40143333333333336,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9544579999999999,-0.0037923333333333975
v0_raw_compactness,MPDD,6,-0.47619752561193623,-0.3714285714285715,0.22736666666666663,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9416558333333334,-0.003454333333333337
v2_z_compactness,GLOBAL,36,-0.05455987368050117,-0.021577694656522713,0.31030833333333335,25.0,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9482980833333333,-0.013692027777777671
v2_z_compactness,MVTEC,15,-0.14872491207911984,-0.11316148622625422,0.28972666666666663,46.666666666666664,0.9864777333333336,0.9918698,0.9925564000000001,0.9785638,-0.01330600000000004
v2_z_compactness,VISA,12,0.1158813679138284,-0.09287846944402187,0.3105583333333333,0.0,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9153576666666666,-0.01865775000000003
v2_z_compactness,BTAD,3,-0.30159649691471885,0.0,0.40470000000000006,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9547173333333333,-0.0035330000000000084
v2_z_compactness,MPDD,6,-0.42048729371327814,-0.14285714285714288,0.31406666666666666,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9353049999999999,-0.009805166666666754
v3_pseudo_probe_gamma0.5,GLOBAL,36,0.11087203300408231,0.13712652361761163,0.3003027777777778,27.77777777777778,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9485073333333334,-0.013482777777777621
v3_pseudo_probe_gamma0.5,MVTEC,15,0.1371728228083264,0.1805319354813747,0.26526666666666665,46.666666666666664,0.9864777333333336,0.9918698,0.9925564000000001,0.9816163333333334,-0.0102534666666666
v3_pseudo_probe_gamma0.5,VISA,12,0.2884894159480816,0.22147942713574445,0.30478333333333335,8.333333333333332,0.9171185833333334,0.9340154166666667,0.9385347500000001,0.9152271666666666,-0.018788250000000062
v3_pseudo_probe_gamma0.5,BTAD,3,0.2501816827635445,0.0,0.36673333333333336,33.33333333333333,0.9515926666666666,0.9582503333333333,0.9654536666666665,0.9488766666666666,-0.009373666666666725
v3_pseudo_probe_gamma0.5,MPDD,6,-0.5901279977835764,-0.2571428571428572,0.34571666666666667,16.666666666666664,0.9368061666666666,0.9451101666666667,0.9501196666666667,0.9321105000000002,-0.01299966666666652
v3_pseudo_probe,GLOBAL,36,0.16914815106358136,0.17495004814152157,0.28816111111111115,36.11111111111111,0.9521723333333334,0.961990111111111,0.9652178333333333,0.9512852777777778,-0.010704833333333164
v3_pseudo_probe,MVTEC,15,0.18431334811461222,0.2170030335584201,0.25948000000000004,46.666666666666664,0.9864777333333336,0.9918698,0.9925564000000001,0.9830545333333335,-0.008815266666666544
