dataset,category,w_pred,w_oracle,fixed05,fixed08,oracle_auroc,proposed,plateau_hit
mvtec,bottle,0.3664,0.1,1.0,1.0,1.0,1.0,1
mvtec,cable,0.6812,0.8,0.976949,0.989505,0.989505,0.986905,0
mvtec,capsule,0.3193,0.7,0.975269,0.979657,0.981651,0.940389,0
mvtec,carpet,0.5377,0.6,0.999599,1.0,1.0,0.99975,1
mvtec,grid,0.2838,0.6,0.999165,1.0,1.0,0.997087,0
mvtec,hazelnut,0.5754,0.4,1.0,1.0,1.0,1.0,1
mvtec,leather,0.4503,0.0,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,0.6009,0.2,1.0,1.0,1.0,1.0,1
mvtec,pill,0.611,0.9,0.969449,0.986634,0.987452,0.980447,0
mvtec,screw,0.3587,0.6,0.930928,0.943226,0.946505,0.891637,0
mvtec,tile,0.4032,0.2,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.4325,0.6,0.977778,0.997222,0.997222,0.972152,0
mvtec,transistor,0.6669,0.9,0.9775,0.989167,0.990833,0.98639,0
mvtec,wood,0.2217,0.7,0.992105,0.994737,0.996491,0.990541,0
mvtec,zipper,0.6957,0.6,0.998424,0.997899,0.998687,0.998184,1
visa,candle,0.4079,0.7,0.9562,0.9649,0.9656,0.943394,0
visa,capsules,0.8063,0.9,0.919,0.959667,0.960333,0.959709,1
visa,cashew,0.6097,0.7,0.9896,0.9932,0.9972,0.996116,0
visa,chewinggum,0.5636,1.0,0.9806,0.9806,0.981,0.9806,1
visa,fryum,0.3201,1.0,0.9222,0.948,0.955,0.881613,0
visa,macaroni1,0.4289,0.5,0.8527,0.8249,0.8527,0.844526,0
visa,macaroni2,0.6263,0.9,0.7137,0.7971,0.804,0.765804,0
visa,pcb1,0.5735,0.9,0.9031,0.9346,0.9352,0.914853,0
visa,pcb2,0.5446,0.7,0.876,0.89,0.8927,0.880998,0
visa,pcb3,0.5088,1.0,0.921782,0.945248,0.945446,0.923097,0
visa,pcb4,0.4232,0.4,0.975941,0.97297,0.976238,0.976169,1
visa,pipe_fryum,0.618,0.8,0.9946,0.997,0.997,0.996036,1
btad,01,0.333,0.2,0.962099,0.955296,0.970845,0.96762,0
btad,02,0.4208,1.0,0.895667,0.921833,0.927833,0.885895,0
btad,03,0.4819,1.0,0.997012,0.997622,0.997683,0.996836,1
mpdd,bracket_black,0.4198,0.6,0.831117,0.8125,0.835106,0.827383,0
mpdd,bracket_brown,0.4169,0.7,0.914027,0.926094,0.926094,0.908386,0
mpdd,bracket_white,0.4139,0.9,0.978889,0.998889,1.0,0.955925,0
mpdd,connector,0.5415,0.8,0.964286,0.985714,0.985714,0.968237,0
mpdd,metal_plate,0.7896,0.4,1.0,1.0,1.0,1.0,1
mpdd,tubes,0.5069,1.0,0.932518,0.947464,0.953804,0.932895,0
